"Company Name","CIQ Company ID","Parent Company","Ultimate Corporate Parent","Majority Investor","Minority Investor(s)","Investors (unknown stake)","Relationship Type","Stake Type","% Owned","Currency","LTM Total Revenues (MM)","LTM Net Income (MM)","LFQ Total Debt (MM)","Period End Date","Headquarters","Primary Industry"
"Flipkart Online Services Pvt. Ltd.","78829188","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT) (77.00% Owned)","Tencent Holdings Limited (SEHK:700) (- % Owned), eBay Inc. (NasdaqGS:EBAY) (- % Owned), Microsoft Corporation, Investment Arm (- % Owned), Morgan Stanley Institutional Fund, Inc. - Global Discovery Portfolio (- % Owned), Morgan Stanley Institutional Fund, Inc. - International Opportunity Portfolio (MutualFund:MIOL.X) (- % Owned), Morgan Stanley Institutional Fund Trust - Discovery Portfolio (MutualFund:MACG.X) (- % Owned), The Vanguard Group, Inc. (- % Owned), Fidelity Rutland Square Trust II - Strategic Advisers Growth Fund (MutualFund:FSGF.X) (- % Owned), Fidelity Investments (- % Owned), VALIC Company I - Mid Cap Strategic Growth Fund (MutualFund:VMSG.X) (- % Owned), Accel Partners (- % Owned), Tiger Global Management LLC (- % Owned), Dragoneer Investment Group, LLC (- % Owned), Morgan Stanley Investment Management Inc. (- % Owned), Vulcan Capital (- % Owned), T. Rowe Price Group, Inc. (NasdaqGS:TROW) (- % Owned), MIH Web Private Limited India (16.70% Owned), Morgan Stanley Institutional Fund, Inc. - Inception Portfolio (MutualFund:MSSM.X) (- % Owned), Inversiones Mobiliarias Y Desarrollo S.A. (- % Owned), C.Y.C., S.A. (- % Owned), Helion Venture Partners, LLC (- % Owned), Steadview Capital Management LLC (- % Owned), Qatar Investment Authority (- % Owned), Green Oaks Capital Management, L.P. (- % Owned), Baillie Gifford & Co. (- % Owned)","Greenoaks Capital Partners LLC, ICONIQ Capital, LLC, GIC Pte. Ltd., DST Global, KG Investments, LLC, Variable Annuity Life Insurance Company, Asset Management Arm, Vanguard World Fund - Vanguard International Growth Fund (MutualFund:VWIG.X), PremjiInvest","Current Subsidiary/Operating Unit","Majority","77.00","-","11.60","-","-","-","Bengaluru, Karnataka | India","Internet and Direct Marketing Retail"
"AdIQuity Technologies Pvt. Ltd.","280765342","Flipkart Online Services Pvt. Ltd.","Walmart Inc. (NYSE:WMT)","Flipkart Online Services Pvt. Ltd. (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","-","-","-","-","Bengaluru, Karnataka | India","Application Software"
"DSYN Technologies Pvt. Ltd.","261356544","Flipkart Online Services Pvt. Ltd.","Walmart Inc. (NYSE:WMT)","Flipkart Online Services Pvt. Ltd. (- % Owned)","Y Combinator Management LLC (7.00% Owned)","-","Current Subsidiary/Operating Unit","Majority","-","-","-","-","-","-","Gurugram, Haryana | India","Application Software"
"FK Myntra Holdings Private Limited","328008274","Flipkart Online Services Pvt. Ltd.","Walmart Inc. (NYSE:WMT)","Flipkart Online Services Pvt. Ltd. (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","-","-","-","-","Singapore | Singapore","-"
"Myntra Jabong India Private Limited","560305750","FK Myntra Holdings Private Limited","Walmart Inc. (NYSE:WMT)","FK Myntra Holdings Private Limited (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","-","-","-","-","Bengaluru, Karnataka | India","Internet and Direct Marketing Retail"
"Jeeves Consumer Services Pvt Ltd","210204240","Flipkart Online Services Pvt. Ltd.","Walmart Inc. (NYSE:WMT)","Flipkart Online Services Pvt. Ltd. (- % Owned)","-","Seedfund","Current Subsidiary/Operating Unit","Majority","-","-","-","-","-","-","Bengaluru, Karnataka | India","Specialized Consumer Services"
"F1 Info Solutions & Services Private Limited","538821591","Jeeves Consumer Services Pvt Ltd","Walmart Inc. (NYSE:WMT)","Jeeves Consumer Services Pvt Ltd (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","-","-","-","-","Mumbai, Maharashtra | India","Office Services and Supplies"
"Liv.ai Pvt. Ltd.","534459187","Flipkart Online Services Pvt. Ltd.","Walmart Inc. (NYSE:WMT)","Flipkart Online Services Pvt. Ltd. (- % Owned)","-","M12","Current Subsidiary/Operating Unit","Majority","-","-","-","-","-","-","Bengaluru, Karnataka | India","Application Software"
"Mallers, Inc.","141540414","Flipkart Online Services Pvt. Ltd.","Walmart Inc. (NYSE:WMT)","Flipkart Online Services Pvt. Ltd. (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","-","-","-","-","Hawthorne, California | United States","Application Software"
"Mintkart India Private Limited","54543152","Flipkart Online Services Pvt. Ltd.","Walmart Inc. (NYSE:WMT)","Flipkart Online Services Pvt. Ltd. (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","112.58","-","-","-","Mumbai, Maharashtra | India","Internet and Direct Marketing Retail"
"Myntra Designs Private Limited","38556909","Flipkart Online Services Pvt. Ltd.","Walmart Inc. (NYSE:WMT)","Flipkart Online Services Pvt. Ltd. (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","257.22","-","-","-","Bengaluru, Karnataka | India","Internet and Direct Marketing Retail"
"Pretr Online Services Private Limited","576045733","Myntra Designs Private Limited","Walmart Inc. (NYSE:WMT)","Myntra Designs Private Limited (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","-","-","-","-","Mumbai, Maharashtra | India","Interactive Media and Services"
"Witworks Consumer Technologies Pvt. Ltd.","381677361","Myntra Designs Private Limited","Walmart Inc. (NYSE:WMT)","Myntra Designs Private Limited (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","-","-","-","-","Bengaluru, Karnataka | India","Apparel, Accessories and Luxury Goods"
"Xerion Retail Private Limited","217302806","Myntra Designs Private Limited","Walmart Inc. (NYSE:WMT)","Myntra Designs Private Limited (- % Owned)","-","FK Myntra Holdings Private Limited","Current Subsidiary/Operating Unit","Majority","-","-","138.92","-","-","-","Gurugram, Haryana | India","Internet and Direct Marketing Retail"
"XS Brands Consultancy Private Limited","376937810","Myntra Designs Private Limited","Walmart Inc. (NYSE:WMT)","Myntra Designs Private Limited (51.00% Owned)","Exceed Entertainment Private Limited (- % Owned)","-","Current Subsidiary/Operating Unit","Majority","51.00","-","-","-","-","-","Mumbai, Maharashtra | India","Internet and Direct Marketing Retail"
"PhonePe Private Limited","329762867","Flipkart Online Services Pvt. Ltd.","Walmart Inc. (NYSE:WMT)","Flipkart Online Services Pvt. Ltd. (- % Owned)","-","Flipkart Payments Pvt. Ltd.","Current Subsidiary/Operating Unit","Majority","-","-","-","-","-","-","Bengaluru, Karnataka | India","Application Software"
"Solvy Tech Solutions Pvt. Ltd.","208317604","PhonePe Private Limited","Walmart Inc. (NYSE:WMT)","PhonePe Private Limited (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","-","-","-","-","Noida, Uttar Pradesh | India","Interactive Media and Services"
"Upsilon Consulting Private Limited","327434330","Solvy Tech Solutions Pvt. Ltd.","Walmart Inc. (NYSE:WMT)","Solvy Tech Solutions Pvt. Ltd. (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","-","-","-","-","Greater Noida, Uttar Pradesh | India","Application Software"
"Ugenie, Inc.","29975532","Flipkart Online Services Pvt. Ltd.","Walmart Inc. (NYSE:WMT)","Flipkart Online Services Pvt. Ltd. (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","-","-","-","-","Burlingame, California | United States","Interactive Media and Services"
"Upstream Commerce Ltd.","129140711","Flipkart Online Services Pvt. Ltd.","Walmart Inc. (NYSE:WMT)","Flipkart Online Services Pvt. Ltd. (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","-","-","-","-","Tel Aviv | Israel","Application Software"
"Flipkart Private Limited","309452892","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT) (77.00% Owned)","Accel Partners (- % Owned), Morgan Stanley Investment Management Inc. (- % Owned), Steadview Capital Management LLC (- % Owned), Qatar Investment Authority (- % Owned), Helion Venture Partners, LLC (- % Owned), Morgan Stanley Institutional Fund, Inc. - Inception Portfolio (MutualFund:MSSM.X) (- % Owned), Morgan Stanley Institutional Fund, Inc. - International Opportunity Portfolio (MutualFund:MIOL.X) (- % Owned), Morgan Stanley Institutional Fund Trust - Discovery Portfolio (MutualFund:MACG.X) (- % Owned), Inversiones Mobiliarias Y Desarrollo S.A. (- % Owned), C.Y.C., S.A. (- % Owned), The Vanguard Group, Inc. (- % Owned), Fidelity Rutland Square Trust II - Strategic Advisers Growth Fund (MutualFund:FSGF.X) (- % Owned), Strategic Advisers, Inc (- % Owned), Fidelity Investments (- % Owned), eBay Inc. (NasdaqGS:EBAY) (- % Owned)","DST Global","Current Subsidiary/Operating Unit","Majority","77.00","-","0.20","-","-","-","Singapore | Singapore","Internet and Direct Marketing Retail"
"Flipkart India Private Limited","322015599","Flipkart Private Limited","Walmart Inc. (NYSE:WMT)","Flipkart Private Limited (- % Owned)","-","Tiger Global Management LLC, Tencent Holdings Ltd., Investment Arm, Accel Partners, Naspers Limited (JSE:NPN), Manhattan Venture Partners","Current Subsidiary/Operating Unit","Majority","-","-","3,325.99","-","-","-","Bengaluru, Karnataka | India","Internet and Direct Marketing Retail"
"Flipkart Internet Private Limited","305467344","Flipkart Private Limited","Walmart Inc. (NYSE:WMT)","Flipkart Private Limited (- % Owned)","-","Kalaari Capital Advisors Private Limited","Current Subsidiary/Operating Unit","Majority","-","-","505.23","-","-","-","Bengaluru, Karnataka | India","Internet and Direct Marketing Retail"
"Flipkart Logistics Pvt. Ltd","308589189","Flipkart Private Limited","Walmart Inc. (NYSE:WMT)","Flipkart Private Limited (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","-","-","-","-","Singapore | Singapore","Data Processing and Outsourced Services"
"Flipkart Payments Pvt. Ltd.","310504310","Flipkart Private Limited","Walmart Inc. (NYSE:WMT)","Flipkart Private Limited (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","-","-","-","-","Singapore | Singapore","-"
"Four Seasons Mall in Plymouth","409639039","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT) (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","-","-","-","-","United States","Real Estate Operating Companies"
"Grabble Pty Ltd.","142824245","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT) (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","-","-","-","-","Wollongong, New South Wales | Australia","Application Software"
"Intersalt, S. De R.l. De C.v.","22431033","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT) (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","33,318.68","-","-","-","Ciudad De Mexico, Distrito Federal | Mexico","Multi-Sector Holdings"
"Inversiones Australes Tres Limitada","54932507","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT) (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","-","-","-","-","Santiago, Region Metropolitana (Santiago) | Chile","-"
"Jet.com, Inc.","269314496","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT) (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","322.18","-","-","-","Hoboken, New Jersey | United States","Internet and Direct Marketing Retail"
"Hayneedle, Inc.","22097666","Jet.com, Inc.","Walmart Inc. (NYSE:WMT)","Jet.com, Inc. (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","158.75","-","-","-","Omaha, Nebraska | United States","Internet and Direct Marketing Retail"
"Binoculars.com","10851471","Hayneedle, Inc.","Walmart Inc. (NYSE:WMT)","Hayneedle, Inc. (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","-","-","-","-","United States","-"
"Hukkster, Inc.","216268149","Jet.com, Inc.","Walmart Inc. (NYSE:WMT)","Jet.com, Inc. (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","-","-","-","-","New York, New York | United States","Internet and Direct Marketing Retail"
"ModCloth, Inc.","98339425","Jet.com, Inc.","Walmart Inc. (NYSE:WMT)","Jet.com, Inc. (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","0.60","-","-","-","San Francisco, California | United States","Apparel Retail"
"Shoebuy.com, Inc.","9686842","Jet.com, Inc.","Walmart Inc. (NYSE:WMT)","Jet.com, Inc. (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","25.72","-","-","-","Boston, Massachusetts | United States","Internet and Direct Marketing Retail"
"Oh! Shoes LLC","128986877","Shoebuy.com, Inc.","Walmart Inc. (NYSE:WMT)","Shoebuy.com, Inc. (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","-","-","-","-","Portland, Oregon | United States","Footwear"
"Main Street 830 (Pty) Ltd","143365691","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT) (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","-","-","-","-","Australia","-"
"Massmart Holdings Limited (JSE:MSM)","7652976","Main Street 830 (Pty) Ltd","Walmart Inc. (NYSE:WMT)","Main Street 830 (Pty) Ltd (52.40% Owned)","Public Investment Corporation Limited (5.67% Owned), Investec Asset Management (South Africa) Limited (9.01% Owned), Standard Life Aberdeen plc (LSE:SLA) (19.80% Owned)","-","Current Subsidiary/Operating Unit","Majority","52.40","ZAR","93,215.60","-143.20","18,725.10",6/30/2019,"Sandton, Gauteng | South Africa","Hypermarkets and Super Centers"
"Builders Trade Depot (Pty) Ltd","130815414","Massmart Holdings Limited (JSE:MSM)","Walmart Inc. (NYSE:WMT)","Massmart Holdings Limited (JSE:MSM) (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","-","-","-","-","South Africa","-"
"Cbw Holdings (pty) Limited","31095726","Massmart Holdings Limited (JSE:MSM)","Walmart Inc. (NYSE:WMT)","Massmart Holdings Limited (JSE:MSM) (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","-","-","-","-","South Africa","-"
"Federated Timbers","20757038","Massmart Holdings Limited (JSE:MSM)","Walmart Inc. (NYSE:WMT)","Massmart Holdings Limited (JSE:MSM) (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","-","-","-","-","Durban, KwaZulu-Natal | South Africa","Distributors"
"Gonubie Building Supplies CC","79720900","Federated Timbers","Walmart Inc. (NYSE:WMT)","Federated Timbers (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","-","-","-","-","Gonubie, Eastern Cape | South Africa","Distributors"
"KBS Buidling Supplies CC","79720829","Federated Timbers","Walmart Inc. (NYSE:WMT)","Federated Timbers (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","-","-","-","-","King Williams Town, Eastern Cape | South Africa","Distributors"
"Runnel Investments CC","79720894","Federated Timbers","Walmart Inc. (NYSE:WMT)","Federated Timbers (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","-","-","-","-","Queenstown, Eastern Cape | South Africa","Distributors"
"Game Stores","31309252","Massmart Holdings Limited (JSE:MSM)","Walmart Inc. (NYSE:WMT)","Massmart Holdings Limited (JSE:MSM) (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","-","-","-","-","South Africa","-"
"Jumbo Cash & Carry (Pty) Ltd.","32690238","Massmart Holdings Limited (JSE:MSM)","Walmart Inc. (NYSE:WMT)","Massmart Holdings Limited (JSE:MSM) (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","-","-","-","-","Johannesburg, Gauteng | South Africa","Hypermarkets and Super Centers"
"Massbuild (pty) Ltd.","106779277","Massmart Holdings Limited (JSE:MSM)","Walmart Inc. (NYSE:WMT)","Massmart Holdings Limited (JSE:MSM) (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","3,060.80","-","-","-","Sandton, Gauteng | South Africa","Home Improvement Retail"
"M Pupkewitz & Sons (Pty) Limited","25759635","Massbuild (pty) Ltd.","Walmart Inc. (NYSE:WMT)","Massbuild (pty) Ltd. (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","-","-","-","-","Windhoek | Namibia","Home Improvement Retail"
"Masscash","79329498","Massmart Holdings Limited (JSE:MSM)","Walmart Inc. (NYSE:WMT)","Massmart Holdings Limited (JSE:MSM) (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","4.91","-","-","-","Sandton, Gauteng | South Africa","Food Retail"
"Business Venture Investments No 1347 (Pty) Ltd.","114450113","Masscash","Walmart Inc. (NYSE:WMT)","Masscash (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","-","-","-","-","Sunninghill, Gauteng | South Africa","-"
"DD's Cash and Carry (Pty) Ltd.","114449974","Business Venture Investments No 1347 (Pty) Ltd.","Walmart Inc. (NYSE:WMT)","Business Venture Investments No 1347 (Pty) Ltd. (51.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","51.00","-","-","-","-","-","Johannesburg, Gauteng | South Africa","-"
"Finro Enterprises (Pty) Ltd.","79329607","Masscash","Walmart Inc. (NYSE:WMT)","Masscash (75.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","75.00","-","-","-","-","-","Port Elizabeth, Eastern Cape | South Africa","Food Retail"
"Massdiscounters (Pty) Ltd","62668565","Massmart Holdings Limited (JSE:MSM)","Walmart Inc. (NYSE:WMT)","Massmart Holdings Limited (JSE:MSM) (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","1,029.85","-","-","-","South Africa","-"
"Massmart Management & Finance Co (Pty) Ltd","130810175","Massmart Holdings Limited (JSE:MSM)","Walmart Inc. (NYSE:WMT)","Massmart Holdings Limited (JSE:MSM) (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","-","-","-","-","South Africa","-"
"Massmart Trade (Pty) Ltd","215685178","Massmart Holdings Limited (JSE:MSM)","Walmart Inc. (NYSE:WMT)","Massmart Holdings Limited (JSE:MSM) (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","-","-","-","-","South Africa","-"
"Masstores (pty) Ltd.","38837294","Massmart Holdings Limited (JSE:MSM)","Walmart Inc. (NYSE:WMT)","Massmart Holdings Limited (JSE:MSM) (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","7,549.55","-","-","-","Johannesburg, Gauteng | South Africa","-"
"Dionwired","212761444","Masstores (pty) Ltd.","Walmart Inc. (NYSE:WMT)","Masstores (pty) Ltd. (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","-","-","-","-","Durban, KwaZulu-Natal | South Africa","-"
"Servistar (Pty) Limited","20902311","Massmart Holdings Limited (JSE:MSM)","Walmart Inc. (NYSE:WMT)","Massmart Holdings Limited (JSE:MSM) (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","5,041.91","-","-","-","East London, Eastern Cape | South Africa","Home Improvement Retail"
"Power Plus Performance (Proprietary) Limited","62537434","Servistar (Pty) Limited","Walmart Inc. (NYSE:WMT)","Servistar (Pty) Limited (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","848.06","-","-","-","Johannesburg, Gauteng | South Africa","Home Improvement Retail"
"Thaba Cash & Carry","53376742","Massmart Holdings Limited (JSE:MSM)","Walmart Inc. (NYSE:WMT)","Massmart Holdings Limited (JSE:MSM) (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","-","-","-","-","Free State | South Africa","Food Retail"
"Westmead Cash And Carry (Pty) Ltd","46888471","Massmart Holdings Limited (JSE:MSM)","Walmart Inc. (NYSE:WMT)","Massmart Holdings Limited (JSE:MSM) (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","-","-","-","-","South Africa","-"
"Wild Developments (Pty) Ltd","307857035","Massmart Holdings Limited (JSE:MSM)","Walmart Inc. (NYSE:WMT)","Massmart Holdings Limited (JSE:MSM) (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","-","-","-","-","Cape Town, Western Cape | South Africa","-"
"Paiz Ahold","7714788","Walmart Inc. (NYSE:WMT), La Fragua, S.A.","Paiz Ahold","-","Walmart Inc. (NYSE:WMT) (50.00% Owned), La Fragua, S.A. (50.00% Owned)","-","Current Subsidiary/Operating Unit","Minority","50.00","-","-","-","-","-","Guatemala","Hypermarkets and Super Centers"
"Parcel Inc.","269110684","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT) (100.00% Owned)","-","Interplay Ventures","Current Subsidiary/Operating Unit","Majority","100.00","-","-","-","-","-","United States","Air Freight and Logistics"
"Presto S.A.","560672507","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT) (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","-","-","-","-","Chile","Consumer Finance"
"Sam’s PW, Inc.","35352082","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT) (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","-","-","-","-","Bentonville, Arkansas | United States","-"
"Sam's Club West Inc","656123345","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT)","-","-","Walmart Inc. (NYSE:WMT)","Current Subsidiary/Operating Unit","Unknown","-","-","-","-","-","-","China","-"
"Sams East Inc.","24986354","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT) (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","29.79","-","-","-","United States","-"
"Sam's Property Company","302719768","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT) (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","-","-","-","-","United States","-"
"Sam's Real Estate Business Trust","61598600","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT) (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","-","-","-","-","United States","-"
"Sam's West, Inc.","891777","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT) (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","60.64","-","-","-","Bentonville, Arkansas | United States","General Merchandise Stores"
"The Wholesale Club, Inc.","35488","Sam's West, Inc.","Walmart Inc. (NYSE:WMT)","Sam's West, Inc. (- % Owned)","-","InvestAmerica Investment Advisors, Inc.","Current Subsidiary/Operating Unit","Majority","-","-","9.00","-","-","-","Indianapolis, Indiana | United States","Hypermarkets and Super Centers"
"Seiyu GK","874545","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT) (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","8,771.39","-","3,010.02","-","Tokyo | Japan","Food Retail"
"Fuji Label Co., Ltd.","30900420","Seiyu GK","Walmart Inc. (NYSE:WMT)","Seiyu GK (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","-","-","-","-","-","-"
"Kyusyu Seiyu Co., Ltd.","54398801","Seiyu GK","Walmart Inc. (NYSE:WMT)","Seiyu GK (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","-","-","-","-","Japan","-"
"Nijicom Ltd.","50008995","Seiyu GK","Walmart Inc. (NYSE:WMT)","Seiyu GK (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","-","-","-","-","Japan","-"
"Scc,Ltd., The","6139834","Seiyu GK","Walmart Inc. (NYSE:WMT)","Seiyu GK (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","50.17","-","-","-","Japan","-"
"Seiyu Europa BV","217612054","Seiyu GK","Walmart Inc. (NYSE:WMT)","Seiyu GK (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","-","-","-","-","Netherlands","Specialty Stores"
"Seiyu Retail Support, K.K.","30640079","Seiyu GK","Walmart Inc. (NYSE:WMT)","Seiyu GK (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","-","-","-","-","Shinagawa-Ku | Japan","Human Resource and Employment Services"
"Seiyu Shoji K.K.","5554299","Seiyu GK","Walmart Inc. (NYSE:WMT)","Seiyu GK (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","77.23","-","-","-","Kita-Ku | Japan","Distributors"
"Tohoku Seiyu Co.,Ltd.","51796077","Seiyu GK","Walmart Inc. (NYSE:WMT)","Seiyu GK (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","156.16","-","-","-","Sendai, Miyagi | Japan","Department Stores"
"Wakana Co.,Ltd.","5532396","Seiyu GK","Walmart Inc. (NYSE:WMT)","Seiyu GK (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","-","-","-","-","Japan","-"
"Simplexity, LLC","38888491","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT) (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","-","-","-","-","Reston, Virginia | United States","Internet and Direct Marketing Retail"
"Simplexity MVNO Services","140071052","Simplexity, LLC","Walmart Inc. (NYSE:WMT)","Simplexity, LLC (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","-","-","-","-","United States","Wireless Telecommunication Services"
"VUDU, Inc.","34104665","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT) (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","10.38","-","-","-","Sunnyvale, California | United States","Movies and Entertainment"
"Wal Mart Cayman Canadian Finance Co.","29731743","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT) (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","-","-","-","-","Bentonville, Arkansas | United States","-"
"Wal Mart Cayman Euro Finance Co.","29731768","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT) (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","-","-","-","-","Bentonville, Arkansas | United States","-"
"Wal Mart Cayman Sterling Finance Co.","3602018","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT) (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","-","-","-","-","Bentonville, Arkansas | United States","-"
"Wal-Mart (China) Investment Co., Ltd.","22430968","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT) (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","5,656.27","-","-","-","Shenzhen, Guangdong Province | China","Hypermarkets and Super Centers"
