"Supplier Name","Exchange:Ticker Symbol","Customer Name","Entity","Relationship Type","Primary Industry","Source","Business Description"
"CTI Industries Corporation (NasdaqCM:CTIB)","NasdaqCM:CTIB","Walmart Inc. (NYSE:WMT)","Self
                         ","Supplier","Housewares and Specialties","CTI Industries Corporation (NasdaqCM:CTIB) 2019 Form 10-K","CTI Industries Corporation develops, produces, and distributes consumer and film products for commercial and industrial uses in the United States, the United Kingdom, rest of Europe, and Mexico. The company offers novelty products, including foil balloons; latex balloons under the Partyloons name; balloon products, which include punch balls, water bombs, and Animal Twisties; and other inflatable toy items. It also provides vacuum sealable bags and rolls of film for household storage under the Ziploc brand; vacuum sealing machines under the Ziploc name; and valved resealable bags for vacuum storage use under the Zipvac brand name. In addition, the company offers packaging films and custom film products for food, and other commercial and packaging applications; produces and distributes home organization and container products; assembles and sells Candy Blossom product line; and distribute party goods. It primarily serves various retail outlets, including general merchandise stores, discount and drugstore chains, grocery chains, card and gift shops, and party goods stores, as well as florists and balloon decorators. The company sells its products directly, as well as through a network of distributors and wholesalers, and independent sales representatives. CTI Industries Corporation was founded in 1975 and is headquartered in Lake Barrington, Illinois."
"CVS Health Corporation (NYSE:CVS)","NYSE:CVS","Walmart Inc. (NYSE:WMT)","Self
                         ","Supplier","Health Care Services","Key DevelopmentClient Announcements Jan-18-2019","CVS Health Corporation provides health services and plans in the United States. It operates through Pharmacy Services, Retail/LTC, and Health Care Benefits segments. The company offers pharmacy benefit management solutions, including plan design and administration, formulary management, retail pharmacy network management, mail order pharmacy, specialty pharmacy and infusion, clinical, disease management, and medical spend management services; and operates mail service dispensing pharmacies, call centers, retail specialty pharmacy stores, specialty mail service pharmacies, and branches for infusion and enteral services. It sells prescription drugs and general merchandise includes over-the-counter drugs, beauty products, cosmetics, and personal care products, as well as provides health care services through its MinuteClinic walk-in medical clinics; and traditional, voluntary, and consumer-directed health insurance products and related services, such as medical, pharmacy, dental, behavioral health, medical management, Medicare plans, PDPs, Medicaid health care management services, workers’ compensation administrative services, and health information technology products and services. The company serves employers, insurance companies, unions, government employee groups, health plans, Medicare Part D prescription drug and Medicaid managed care plans, plans offered on public and private health insurance exchanges, other sponsors of health benefit plans, individuals, college students, workers, labor groups, and expatriates. As of December 31, 2019, it operated approximately 8,170 retail stores, 1,725 retail pharmacies, 80 clinics, 9,900 retail locations, 1,100 MinuteClinic locations, and LTC and onsite pharmacies, as well as an online retail pharmacy Websites. The company was formerly known as CVS Caremark Corporation and changed its name to CVS Health Corporation in September 2014. The company was founded in 1963 and is headquartered in Woonsocket, Rhode Island."
"Cyber Media (India) Limited (BSE:532640)","BSE:532640","Flipkart Online Services Pvt. Ltd.","Subsidiary/Investment
                         ","Supplier","Publishing","Cyber Media (India) Limited (BSE:532640) - Form Doc","Cyber Media (India) Limited engages in the print media business in India and internationally. It publishes various magazines, such as Dataquest, PCQuest, Voice&Data, DQ Channels, DQ Week, and Global Services. The company conducts events in the areas of IT, telecom, biotechnology, innovation, and entrepreneurship industries. The company also operates ciol.com, a technology business Website; and offers market research, consulting, and advisory services for information technology, telecommunications, semiconductor and electronics, government, infrastructure, energy and utilities, and healthcare and life sciences industries, as well as enterprise, SMB, and consumer user segments. In addition, it provides content syndication services; marketing programs and custom publications for enterprises; and content management, editorial, and production services for publishers. The company was founded in 1982 and is based in Gurugram, India."
"D&M Holdings Inc.","-","Massmart Holdings Limited (JSE:MSM)","Subsidiary/Investment
                         ","Supplier","Consumer Electronics","Massmart Holdings Limited (JSE:MSM) 2013 Form ","D&M Holdings, Inc., through its subsidiaries, engages in the design, manufacture, and sale of audio, video, and media equipments. It offers stereo amplifiers, audio/video receivers, tuners, speakers, tape decks, magnetic disk decks, compact disk (CD) players, CD recorders, video (CD) players, and digital video disk players. It also offers DLP projectors, magneto-optical recorders, recording studio and broadcast equipment, integrated circuit memories, electronic pianos, industrial karaoke systems, disc jockey equipments, long-hour communication recording devices, business-use A/V equipment and systems, and A/V monitoring systems. The company also provides network media server, network media extender, personal video recorder, and portable audio player. The company markets its products under the Denon, Marantz, McIntosh Laboratory, Boston Acoustics, Snell Acoustics, Escient, D&M ReplayTV, Rio, and D&M Professional brands in North America, Japan, Asia Pacific, and Europe. D&M Holdings was founded in 2002 and is headquartered in Kawasaki-shi, Japan. As of February 28, 2017, D&M Holdings Inc. operates as a subsidiary of Sound United."
"Dabur India Limited (NSEI:DABUR)","NSEI:DABUR","Jet.com, Inc.","Subsidiary/Investment
                         ","Supplier","Personal Products","Dabur India Limited (NSEI:DABUR) - Form ","Dabur India Limited operates as a fast moving consumer goods company worldwide. It operates through Consumer Care Business, Food Business, and Others segments. The company manufactures and sells health supplements under the Dabur Chyawanprash, Dabur Honey, and Dabur Glucose brands; digestive products under the Dabur Hajmola, Pudin Hara, and Nature Care brands; and shampoos under the Dabur Almond and Vatika brands. It also provides hair oils under the Dabur Amla, Vatika, and Almond brands; skin care products under the Dabur Gulabari, Oxylife Bleach, and Dabur Fem brands; and oral care products under the Dabur Red Paste, Dabur Meswak, Dabur Babool, and Dabur Lal Dant Manjan brands. In addition, the company offers fruit juices under the Réal and Réal Activ brands; various cooking pastes under the Hommade brand name; and beverages under the Hajmola Yoodley brand name. Further, it provides energizers and rejuvenators under the Shilajit and Shilajit Gold names; cough and cold products under the Dabur Honitus brand name; women’s health products, which include Dashmularishta Asav, Ashokarishta Asav, Dabur Activ blood purifier, and Dabur woman restorative tonic; ayurvedic baby massage oil under the Dabur Lal Tail name; tonics for babies under the Dabur Gripe Water and Dabur Janam Ghunti names; tonic for weakness and exhaustion under the Dabur Lohasava name; and ayurvedic ethical products. Additionally, the company offers mosquito repellents under the Odomos brand name; air fresheners under the Odonil name; toilet cleaners under the Sanifresh brand name; dish wash products under the Odopic name; and natural gum products under brand name DABISCO. It also operates specialized beauty retail stores that offer a range of cosmetics, fragrances, skin care, and personal care products, as well as beauty and fashion accessories under the NewU brand name. Dabur India Limited was founded in 1884 and is based in Ghaziabad, India."
"Dabur India Limited (NSEI:DABUR)","NSEI:DABUR","Wal-Mart.com USA, LLC","Subsidiary/Investment
                         ","Supplier","Personal Products","Dabur India Limited (NSEI:DABUR) - Form ","Dabur India Limited operates as a fast moving consumer goods company worldwide. It operates through Consumer Care Business, Food Business, and Others segments. The company manufactures and sells health supplements under the Dabur Chyawanprash, Dabur Honey, and Dabur Glucose brands; digestive products under the Dabur Hajmola, Pudin Hara, and Nature Care brands; and shampoos under the Dabur Almond and Vatika brands. It also provides hair oils under the Dabur Amla, Vatika, and Almond brands; skin care products under the Dabur Gulabari, Oxylife Bleach, and Dabur Fem brands; and oral care products under the Dabur Red Paste, Dabur Meswak, Dabur Babool, and Dabur Lal Dant Manjan brands. In addition, the company offers fruit juices under the Réal and Réal Activ brands; various cooking pastes under the Hommade brand name; and beverages under the Hajmola Yoodley brand name. Further, it provides energizers and rejuvenators under the Shilajit and Shilajit Gold names; cough and cold products under the Dabur Honitus brand name; women’s health products, which include Dashmularishta Asav, Ashokarishta Asav, Dabur Activ blood purifier, and Dabur woman restorative tonic; ayurvedic baby massage oil under the Dabur Lal Tail name; tonics for babies under the Dabur Gripe Water and Dabur Janam Ghunti names; tonic for weakness and exhaustion under the Dabur Lohasava name; and ayurvedic ethical products. Additionally, the company offers mosquito repellents under the Odomos brand name; air fresheners under the Odonil name; toilet cleaners under the Sanifresh brand name; dish wash products under the Odopic name; and natural gum products under brand name DABISCO. It also operates specialized beauty retail stores that offer a range of cosmetics, fragrances, skin care, and personal care products, as well as beauty and fashion accessories under the NewU brand name. Dabur India Limited was founded in 1884 and is based in Ghaziabad, India."
"Dabur India Limited (NSEI:DABUR)","NSEI:DABUR","Walmart Inc. (NYSE:WMT)","Self
                         ","Supplier","Personal Products","Dabur India Limited (NSEI:DABUR) - Form ","Dabur India Limited operates as a fast moving consumer goods company worldwide. It operates through Consumer Care Business, Food Business, and Others segments. The company manufactures and sells health supplements under the Dabur Chyawanprash, Dabur Honey, and Dabur Glucose brands; digestive products under the Dabur Hajmola, Pudin Hara, and Nature Care brands; and shampoos under the Dabur Almond and Vatika brands. It also provides hair oils under the Dabur Amla, Vatika, and Almond brands; skin care products under the Dabur Gulabari, Oxylife Bleach, and Dabur Fem brands; and oral care products under the Dabur Red Paste, Dabur Meswak, Dabur Babool, and Dabur Lal Dant Manjan brands. In addition, the company offers fruit juices under the Réal and Réal Activ brands; various cooking pastes under the Hommade brand name; and beverages under the Hajmola Yoodley brand name. Further, it provides energizers and rejuvenators under the Shilajit and Shilajit Gold names; cough and cold products under the Dabur Honitus brand name; women’s health products, which include Dashmularishta Asav, Ashokarishta Asav, Dabur Activ blood purifier, and Dabur woman restorative tonic; ayurvedic baby massage oil under the Dabur Lal Tail name; tonics for babies under the Dabur Gripe Water and Dabur Janam Ghunti names; tonic for weakness and exhaustion under the Dabur Lohasava name; and ayurvedic ethical products. Additionally, the company offers mosquito repellents under the Odomos brand name; air fresheners under the Odonil name; toilet cleaners under the Sanifresh brand name; dish wash products under the Odopic name; and natural gum products under brand name DABISCO. It also operates specialized beauty retail stores that offer a range of cosmetics, fragrances, skin care, and personal care products, as well as beauty and fashion accessories under the NewU brand name. Dabur India Limited was founded in 1884 and is based in Ghaziabad, India."
"Dahe Media Co., Ltd. (SEHK:8243)","SEHK:8243","Walmart Inc. (NYSE:WMT)","Self
                         ","Supplier","Advertising","Dahe Media Co., Ltd. (SEHK:8243) 2018 Form Doc","Dahe Media Co., Ltd., together with its subsidiaries, engages in outdoor media dissemination, terminal dissemination, outdoor advertising media production, and artwork trading businesses in the People’s Republic of China. It disseminates outdoor advertising through owning and leasing outdoor advertising space; and designs and produces outdoor advertising products. The company is also involved in the cultural and art exchange activities; franchising of advertising boards; and provision of training, as well as integrated marketing communication consultation, media publication strategy consultancy, and monitoring and evaluation services. It primarily serves fast moving consumer goods, media, real estate, finance, tourism, and other industries. The company was founded in 1994 and is based in Nanjing, the People’s Republic of China. Dahe Media Co., Ltd. is a subsidiary of Dahe Investment Holdings Group, Co., Ltd."
"DarioHealth Corp. (NasdaqCM:DRIO)","NasdaqCM:DRIO","Walmart Inc. (NYSE:WMT)","Self
                         ","Supplier","Health Care Equipment","Key DevelopmentClient Announcements Dec-03-2019","DarioHealth Corp., a digital health company, develops and commercializes patented and proprietary technologies providing consumers with laboratory-testing capabilities using smart phones and other mobile devices in the United States, Europe, Australia, and Canada. The company’s flagship product, Dario, also known as Dario Smart Diabetes Management Solution, is a mobile, real-time, cloud-based, diabetes management solution based on a software application combined with Dario Smart Meter, a pocket-sized, blood glucose monitoring device. It offers Dario Engage software platform, where the company digitally engages with Dario users and assists them in monitoring their chronic illnesses, as well as provides them with coaching, support, digital communications; and real time alerts, trends, and pattern analysis. The company markets its products directly to consumer cash sales, as well as retail pharmacy, hospitals, and distributors; and through e-stores. DarioHealth Corp. has strategic partnership with CCS Medical. The company was formerly known as LabStyle Innovations Corp. and changed its name to DarioHealth Corp. in July 2016. DarioHealth Corp. was founded in 2011 and is headquartered in Caesarea, Israel."
"Datamatics Global Services Limited (BSE:532528)","BSE:532528","Walmart Inc. (NYSE:WMT)","Self
                         ","Supplier","Data Processing and Outsourced Services","Datamatics Global Services Limited (BSE:532528) - Form ","Datamatics Global Services Limited provides consulting, information technology, business process management, engineering, and big data and analytic services in the United States, Europe, and internationally. It operates through IT Services and Business Process Management segments. The company also provides robotic process automation, data capture, business intelligence and data visualization, text analytics and pattern detection platform, automated fare collection, test automation, smart business accelerator for trade finance, and end-to-end automated workflow management solutions. It serves banking and finance, publishing, healthcare and insurance, manufacturing and logistics, travel and hospitality, retail and e-commerce, and international organizations. The company was formerly known as Datamatics Technologies Limited and changed its name to Datamatics Global Services Limited in January 2009. The company was founded in 1975 and is headquartered in Mumbai, India. Datamatics Global Services Limited is a subsidiary of Delta Infosolutions Private Limited."
"DCD Media Plc (AIM:DCD)","AIM:DCD","VUDU, Inc.","Subsidiary/Investment
                         ","Supplier","Movies and Entertainment","DCD Media Plc (AIM:DCD) - Form Doc","DCD Media Plc operates as an independent television production and distribution company in the United Kingdom, rest of Europe, North and South America, and internationally. It operates in two segments, Rights and Licensing, and Production. The Rights and Licensing segment is involved in the sale of distribution rights, DVDs, and music, as well as publishing deals through DCD rights. The Production segment produces television content. The company was founded in 1999 and is headquartered in London, the United Kingdom. DCD Media Plc is a subsidiary of Timeweave Ltd."
"DCV Registros S.A.","-","Walmart Chile S.A.","Subsidiary/Investment
                         ","Supplier","Asset Management and Custody Banks","DCV Registros S.A. - Form ","DCV Registros S.A. manages shareholders records in Chile. It offers shareholder register management services. The company was incorporated in 2001 and is based in Santiago, Chile. DCV Registros S.A. is a subsidiary of Depósito Central de Valores S.A., Depósito de Valores."
"Dean Foods Company (OTCPK:DFOD.Q)","OTCPK:DFOD.Q","Sam's West, Inc.","Subsidiary/Investment
                         ","Supplier","Packaged Foods and Meats","Dean Foods Company (OTCPK:DFOD.Q) 2019 Form 10-K","Dean Foods Company, a food and beverage company, processes and distributes milk, and other dairy and dairy case products in the United States. The company manufactures, markets, and distributes various branded and private label dairy, and dairy case products, such as fluid milk, ice creams, cultured dairy products, creamers, ice cream mixes, and other dairy products; and juices, teas, bottled water, and other products. It sells its products under approximately 50 national, regional, and local proprietary or licensed brands, as well as private labels, including DairyPure, TruMoo, Alta Dena, Berkeley Farms, Country Fresh, Dean’s, Friendly's, Garelick Farms, LAND O LAKES, Lehigh Valley Dairy Farms, Mayfield, McArthur, Meadow Gold, Oak Farms, PET, T.G. Lee, Tuscan, and others. The company sells its products to retailers, distributors, foodservice outlets, educational institutions, and governmental entities through its local and regional sales forces. Dean Foods Company was founded in 1925 and is headquartered in Dallas, Texas. On November 12, 2019, Dean Foods Company filed a voluntary petition for reorganization under Chapter 11 in the U.S. Bankruptcy Court for the Southern District of Texas. It is in joint administration with Southern Foods Group, LLC."
"Dean Foods Company (OTCPK:DFOD.Q)","OTCPK:DFOD.Q","Walmart Inc. (NYSE:WMT)","Self
                         ","Supplier","Packaged Foods and Meats","Dean Foods Company (OTCPK:DFOD.Q) 2019 Form 10-K","Dean Foods Company, a food and beverage company, processes and distributes milk, and other dairy and dairy case products in the United States. The company manufactures, markets, and distributes various branded and private label dairy, and dairy case products, such as fluid milk, ice creams, cultured dairy products, creamers, ice cream mixes, and other dairy products; and juices, teas, bottled water, and other products. It sells its products under approximately 50 national, regional, and local proprietary or licensed brands, as well as private labels, including DairyPure, TruMoo, Alta Dena, Berkeley Farms, Country Fresh, Dean’s, Friendly's, Garelick Farms, LAND O LAKES, Lehigh Valley Dairy Farms, Mayfield, McArthur, Meadow Gold, Oak Farms, PET, T.G. Lee, Tuscan, and others. The company sells its products to retailers, distributors, foodservice outlets, educational institutions, and governmental entities through its local and regional sales forces. Dean Foods Company was founded in 1925 and is headquartered in Dallas, Texas. On November 12, 2019, Dean Foods Company filed a voluntary petition for reorganization under Chapter 11 in the U.S. Bankruptcy Court for the Southern District of Texas. It is in joint administration with Southern Foods Group, LLC."
"Deliv, Inc.","-","Walmart Inc. (NYSE:WMT)","Self
                         ","Supplier","Air Freight and Logistics","Key DevelopmentClient Announcements Feb-13-2019","Deliv, Inc. provides crowd sourced same-day delivery services for customers’ online orders right from a retailer’s Website directly to the customer’s door. The company allows retailers to offer their customers a same-day delivery option as they shop from their Website, mobile app, or from their physical brick and mortar store. It serves retailers and mall operators in the United States. The company was formerly known as Fetchsters, Inc. Deliv, Inc. was founded in 2012 and is based in Menlo Park, California."
"Delivra Corp.","-","Walmart Inc. (NYSE:WMT)","Self
                         ","Supplier","Biotechnology","Delivra Corp. 2019 Form Doc"," As of July 3, 2019, Delivra Corp. operates as a subsidiary of Harvest One Cannabis Inc.
"
"Delta Galil Industries Ltd. (TASE:DELT)","TASE:DELT","Walmart Inc. (NYSE:WMT)","Self
                         ","Supplier","Apparel, Accessories and Luxury Goods","Delta Galil Industries Ltd. (TASE:DELT) - Form Doc","Delta Galil Industries Ltd. manufactures and markets private label apparel products for men, women, and children worldwide. The company provides intimate apparel, socks, children's wear, leisure wear, active wear, undergarments, and sportswear, denim, and women’s outerwear. It offers its products under the 7 For All Mankind, Splendid, Schiesser, P.J. Salvage, KN Karen Neuburger, Eminence, Athena, Liabel, Delta, and Fix brand names. Delta Galil Industries Ltd. also provides its products under the brand names licensed to the company, including Maidenform, Converse, Wilson, Tommy Hilfiger, Kenneth Cole, Columbia, Original Penguin, Marc O'Polo, Lacoste, Juicy Couture, Calvin Klein, and Disney. The company sells its products through retailers, as well as in its own stores and an online store. Delta Galil Industries Ltd. was founded in 1975 and is headquartered in Caesarea, Israel."
"Demandware, LLC","-","ASDA Group Limited","Subsidiary/Investment
                         ","Supplier","Application Software","Demandware, LLC 2016 Form 10-K","Demandware, LLC provides enterprise-class cloud commerce solutions in the United States, Germany, the United Kingdom, and internationally. It offers Demandware Commerce Cloud, a digital commerce platform that enables customers to establish and execute complex digital commerce strategies, as well as facilitates customers in global expansion, omni-channel processes, multi-brand and multi-site rollouts, predictive merchandising, and in-store operations. The company’s Demandware Commerce Cloud consists of Demandware Digital and Demandware Store solutions. It also supports its partners in the development of their integrations to third party applications, including email marketing, campaign management, payment management, personalization, social commerce, tax applications, and ratings and reviews. The company sells its cloud based solutions to multinational corporations, retailers, and branded manufacturers in apparel and footwear, health and beauty, home and garden, sporting goods, general merchandise, and other categories through its direct sales force and indirect channels. Demandware, LLC was founded in 2004 and is headquartered in Burlington, Massachusetts. As of July 8, 2016, Demandware, LLC operates as a subsidiary of salesforce.com, inc."
"Demandware, LLC","-","ModCloth, Inc.","Subsidiary/Investment
                         ","Supplier","Application Software","Key DevelopmentClient Announcements Oct-29-2015","Demandware, LLC provides enterprise-class cloud commerce solutions in the United States, Germany, the United Kingdom, and internationally. It offers Demandware Commerce Cloud, a digital commerce platform that enables customers to establish and execute complex digital commerce strategies, as well as facilitates customers in global expansion, omni-channel processes, multi-brand and multi-site rollouts, predictive merchandising, and in-store operations. The company’s Demandware Commerce Cloud consists of Demandware Digital and Demandware Store solutions. It also supports its partners in the development of their integrations to third party applications, including email marketing, campaign management, payment management, personalization, social commerce, tax applications, and ratings and reviews. The company sells its cloud based solutions to multinational corporations, retailers, and branded manufacturers in apparel and footwear, health and beauty, home and garden, sporting goods, general merchandise, and other categories through its direct sales force and indirect channels. Demandware, LLC was founded in 2004 and is headquartered in Burlington, Massachusetts. As of July 8, 2016, Demandware, LLC operates as a subsidiary of salesforce.com, inc."
"Deneb Investments Limited (JSE:DNB)","JSE:DNB","Massmart Holdings Limited (JSE:MSM)","Subsidiary/Investment
                         ","Supplier","Multi-Sector Holdings","Deneb Investments Limited (JSE:DNB) 2019 Form ","Deneb Investments Limited, an investment company, distributes branded products in South Africa and internationally. The company’s Properties segment owns and manages a portfolio of industrial and commercial properties situated in KwaZulu-Natal and the Western Cape. Its Branded Product Distribution segment sources and distributes Prima Toys, Prima Interactive, The Empire Group, Oops, HTIC, Seartec, The Kid Zone, OfficeBox, Clever Little Monkey, and Brand ID products. The Industrial Product Manufacturing segment manufactures specialized industrial products for the mining, agricultural, construction, and automotive industries. The Automotive Parts Manufacturing segment engages in the manufacturing of tubular and exhaust-related components. Deneb Investments Limited was incorporated in 2013 and is based in Cape Town, South Africa."
"Dewmar International BMC, Inc. (OTCPK:DEWM)","OTCPK:DEWM","Walmart Inc. (NYSE:WMT)","Self
                         ","Supplier","Advertising","Dewmar International BMC, Inc. (OTCPK:DEWM) 2017 Form 8-K","Dewmar International BMC, Inc. operates as a brand management services company in the United States and internationally. The company specializes in developing or acquiring new products, brands, or companies for launch or distribution in various markets. It manages multiple brands and services, including consumer good categories, and health and wellness industry verticals, as well as offers outsourced sales and marketing services. The company also provides yella, purp, and easta pink flavored relaxation beverage products under the brand name of Lean Slow Motion Potion. Dewmar International BMC, Inc. is headquartered in Clinton, Mississippi."
"Diamond Foods, LLC","-","Sam's West, Inc.","Subsidiary/Investment
                         ","Supplier","Packaged Foods and Meats","Diamond Foods, LLC 2015 Form 10-K","Diamond Foods, LLC engages in processing, marketing, and distributing snack products; and culinary, in-shell, and ingredient nuts. The company operates in two segments, Snacks and Nuts. It offers potato chips, ready-to-eat popcorn, and snack nuts. The company sells its products under Diamond of California, Emerald, and Pop Secret brand names. Diamond Foods, LLC sells its products to global, national, regional, and independent grocery, drug, and convenience store chains, as well as to mass merchandisers, club stores, other retail channels, and non-retail channels through its sales force and wholesale distributors. The company operates in the United States, the United Kingdom, Canada, South Korea, Japan, Germany, and the Netherlands. Diamond Foods, LLC was founded in 1912 and is based in Stockton, California. As of February 29, 2016, Diamond Foods, LLC operates as a subsidiary of Snyder's-Lance, Inc."
"Diamond Foods, LLC","-","Walmart Inc. (NYSE:WMT)","Self
                         ","Supplier","Packaged Foods and Meats","Diamond Foods, LLC 2015 Form 10-K","Diamond Foods, LLC engages in processing, marketing, and distributing snack products; and culinary, in-shell, and ingredient nuts. The company operates in two segments, Snacks and Nuts. It offers potato chips, ready-to-eat popcorn, and snack nuts. The company sells its products under Diamond of California, Emerald, and Pop Secret brand names. Diamond Foods, LLC sells its products to global, national, regional, and independent grocery, drug, and convenience store chains, as well as to mass merchandisers, club stores, other retail channels, and non-retail channels through its sales force and wholesale distributors. The company operates in the United States, the United Kingdom, Canada, South Korea, Japan, Germany, and the Netherlands. Diamond Foods, LLC was founded in 1912 and is based in Stockton, California. As of February 29, 2016, Diamond Foods, LLC operates as a subsidiary of Snyder's-Lance, Inc."
"Dipula Income Fund Limited","-","Massmart Holdings Limited (JSE:MSM)","Subsidiary/Investment
                         ","Landlord","Diversified REITs","Dipula Income Fund Limited - Form Doc","Dipula is an internally managed, South African focused Real Estate Investment Trust (“REIT”) that owns a diversified portfolio of primarily retail, office and industrial assets located across all provinces in South Africa. The majority are in Gauteng. Dipula also selectively invests in the residential rental sector. Dipula’s internalised asset management team has developed a high level of expertise in peri-urban areas, with the necessary experience to navigate complex community issues. Dipula’s core competencies include property, financial, marketing and legal. Furthermore management maintains strong relationships with key national tenants. This expertise and determination combined with dedicated portfolio management has been the cornerstone of the company’s strong track record of creating value for its shareholders. Dipula is listed on the Johannesburg Stock Exchange (“JSE”) and has two classes of shares in issue trading under the codes DIA and DIB. DIA shares are entitled to a preferred income growth of the lower of 5% or CPI, while DIB shares receive the remaining net distributable income. DIA and DIB shares rank equally in all other respects. The company’s strategy is to own a diversified portfolio with a retail bias and good tenant covenants. Management holds a significant stake in Dipula as a strategic long-term investment, ensuring a continuous alignment with shareholders."
"Disa Digital Safety Inc","-","Walmart Inc. (NYSE:WMT)","Self
                         ","Supplier",,"Key DevelopmentClient Announcements Jun-18-2017","There is no business description for this supplier."
"Dixon Technologies (India) Limited (BSE:540699)","BSE:540699","Flipkart Internet Private Limited","Subsidiary/Investment
                         ","Supplier","Consumer Electronics","Dixon Technologies (India) Limited (BSE:540699) - Form Doc","Dixon Technologies (India) Limited manufactures and sells products for the consumer durables, lighting, and mobile phones markets in India. It offers consumer electronics, including LED TVs; home appliances, such as washing machines; lighting products, comprising LED bulbs, tube lights, down lighters, CFL bulbs, and CFL drivers; mobile phones; and security surveillance systems. The company also provides solutions in reverse logistics, such as repair and refurbishment services of set top boxes; mobile phones; LCD and LED TVs; LED panels; home theatres; and computer peripherals and other devices, such as printers, CCTVs, and speakers. The company was incorporated in 1993 and is headquartered in Noida, India."
"D-Link Corporation (TSEC:2332)","TSEC:2332","Walmart Inc. (NYSE:WMT)","Self
                         ","Supplier","Communications Equipment","Key DevelopmentClient Announcements May-19-2015","D-Link Corporation designs, develops, manufactures, and sells networking and connectivity products to consumers, small businesses, medium to large-sized enterprises, and service providers in Taiwan and internationally. The company offers home networking products, such as Wi-Fi routers, range extenders, and home systems, as well as powerlines, adapters, switches, DSL modems and routers, and mobile Wi-Fi hotspots; cameras, smart plugs, hubs, sensors, and network video recorders; and accessories including USB hubs. It also provides network security products, including UTM firewalls and VPN routers; camera accessories; switches, which consist of cloud managed and unmanaged switches, smart and fully managed switches, industrial switches, and switch accessories, as well as management software; and wireless products comprising cloud managed, software managed, and controller managed access points, as well as wireless controllers. In addition, the company offers mydlink, an app that controls and interacts with various devices, as well as provides cloud services. Further, it provides Nuclias cloud access points and hubs; D-ViewCam, a video management software; CMS, a network devices and cameras management software; D-View 7, a network management software; and CWM, a central Wi-Fi management software. The company was founded in 1986 and is headquartered in Taipei City, Taiwan."
"DLT Labs Inc","-","Walmart Canada Corp.","Subsidiary/Investment
                         ","Supplier",,"Key DevelopmentClient Announcements Nov-14-2019","There is no business description for this supplier."
"DMC Beverage Corp.","-","Walmart Inc. (NYSE:WMT)","Self
                         ","Supplier","Packaged Foods and Meats","DMC Beverage Corp. 2015 Form 10-K","DMC Beverage Corp. manufactures and sells juice beverages in the United States. It provides juices with zero artificial ingredients, sweeteners, or preservatives in the chilled juice/dairy case and the ambient juice aisle under the CoolJuice brand name. The company was founded in 2005 and is based in Englewood, Colorado."
"DocuSign, Inc. (NasdaqGS:DOCU)","NasdaqGS:DOCU","Walmart Inc. (NYSE:WMT)","Self
                         ","Supplier","Application Software","DocuSign, Inc. (NasdaqGS:DOCU) 2018 Form 424B4","DocuSign, Inc. provides cloud based software in the United States. The company offers e-signature solution that enables businesses to digitally prepare, execute, and act on agreements. The company sells its products through direct, partner-assisted, and Web-based sales. It serves enterprise businesses, commercial businesses, and small businesses, such as professionals, sole proprietorships and individuals. The company was 2003 and is headquartered in San Francisco, California."
"Dogness (International) Corporation (NasdaqGM:DOGZ)","NasdaqGM:DOGZ","Walmart Inc. (NYSE:WMT)","Self
                         ","Supplier","Apparel, Accessories and Luxury Goods","Dogness (International) Corporation (NasdaqGM:DOGZ) 2019 Form 20-F","Dogness (International) Corporation, through its subsidiaries, designs, manufactures, and sells fashionable products for dogs and cats worldwide. It provides pet leashes, pet collars, pet harnesses, and retractable dog leashes, as well as lanyards; dog comfort wrap harnesses, pet muzzles, metal chain traffic leashes, pet belt and ropes, etc.; mouth covers and pet charms; gift suspenders, including various ribbons and belts for use in the badges, name tags, and gift bags; and intelligent pet products, such as APP controlled pet food containers, pet water containers, smart pet toys, etc., as well as climbing hooks and pet shampoos. The company offers its products to wholesalers and retailers. Dogness (International) Corporation was founded in 2003 and is headquartered in Dongguan, the People’s Republic of China."
"Dolby Laboratories, Inc. (NYSE:DLB)","NYSE:DLB","VUDU, Inc.","Subsidiary/Investment
                         ","Licensor","Electronic Components","Dolby Laboratories, Inc. (NYSE:DLB) 2018 Form 10-K","Dolby Laboratories, Inc. creates audio and imaging technologies that transform entertainment and communications at the cinema, at home, at work, and on mobile devices. The company develops and licenses its audio technologies, such as AAC & HE-AAC, a digital audio codec solution used for a range of media applications.; AVC, a digital video codec with high bandwidth efficiency used in media devices; Dolby AC-4, an audio coding technology that delivers new audio experiences to a range of playback devices; and Dolby Atmos technology for cinema and a range of media devices. Its audio technologies also include Dolby Digital, a digital audio coding technology that provides multichannel sound to applications; Dolby Digital Plus, a digital audio coding technology that offers audio transmission for a range of media applications and devices; Dolby TrueHD, a digital audio coding technology providing encoding for media application; Dolby Vision, an imaging technology for cinema and media devices; Dolby Voice, an audio conferencing technology; and HEVC, a digital video codec with high bandwidth efficiency to support for media devices. In addition, the company designs and manufactures digital cinema servers, cinema processors, amplifiers, loudspeakers, hardware components, video conferencing solutions, and other products for the cinema, television, broadcast, and entertainment industries. Further, it offers various services to support theatrical and television production for cinema exhibition, broadcast, and home entertainment. The company serves film studios, content creators, post-production facilities, cinema operators, broadcasters, and video game designers. It sells its products directly to the end users, as well as through dealers and distributors worldwide. Dolby Laboratories, Inc. was founded in 1965 and is headquartered in San Francisco, California."
